,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
647,Jalen Reeves-Maybin\ReevJa00,DET,23,,9,0,0,3,1,33.3%,0,0.0,0.0,0,42.4,11.7,0,0,1,0,0,0.0,0,13,3,18.8%
648,Dominique Rodgers-Cromartie\RodgDo99,OAK,32,,7,1,0,14,6,42.9%,42,7.0,3.0,0,50.3,9.4,17,25,1,0,0,0.0,0,8,4,33.3%
649,Derrick Shelby\ShelDe00,ATL,29,,7,3,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,10,0,0.0%
650,John Simon\SimoJo01,NWE,28,,11,2,0,2,2,100.0%,23,11.5,11.5,0,114.6,9.0,18,5,25,3,1,2.0,6,17,1,5.6%
651,Grover Stewart\StewGr00,IND,25,,15,1,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,17,1,5.6%
652,Dymonte Thomas\ThomDy01,DEN,25,,12,0,1,2,0,0.0%,0,,0.0,0,0.0,23.5,0,0,2,0,0,1.0,1,12,0,0.0%
653,Corey Thompson\ThomCo02,BUF,25,,6,1,0,4,3,75.0%,11,3.7,2.8,0,77.1,6.8,7,4,3,0,0,0.0,0,14,2,12.5%
654,Sylvester Williams\WillSy00,2TM,30,,14,4,0,0,0,,0,,,0,,,0,0,0,3,0,0.0,3,14,2,12.5%
655,Jonathan Woodard\WoodJo00,MIA,25,,6,0,0,0,0,,0,,,0,,,0,0,0,2,1,1.0,4,10,1,9.1%
656,Jamal Agnew\AgneJa00,DET,23,,6,0,0,12,9,75.0%,133,14.8,11.1,0,110.8,10.2,82,51,1,1,0,0.0,1,7,2,22.2%
657,Ryan Anderson\AndeRy00,WAS,24,,13,0,0,3,1,33.3%,17,17.0,5.7,0,53.5,2.3,3,14,3,3,2,2.0,7,18,1,5.3%
658,Ezekiel Ansah\AnsaEz00,DET,29,,7,2,0,0,0,,0,,,0,,,0,0,0,2,3,4.0,9,11,1,8.3%
659,Jeremiah Attaochu\AttaJe00,NYJ,25,,11,0,0,2,1,50.0%,7,7.0,3.5,1,97.9,7.0,7,0,4,2,3,2.0,7,9,1,10.0%
660,Johnson Bademosi\BadeJo00,HOU,28,,16,0,0,1,1,100.0%,8,8.0,8.0,0,100.0,6.0,6,2,0,0,0,0.0,0,10,0,0.0%
661,Kentrell Brothers\BrotKe00,MIN,25,,12,0,0,1,0,0.0%,0,,0.0,0,39.6,8.0,0,0,1,0,0,1.0,1,10,0,0.0%
662,Jermaine Carter Jr.\CartJe00,CAR,23,,16,1,0,7,6,85.7%,91,15.2,13.0,1,158.3,8.1,37,54,2,0,1,0.0,1,13,2,13.3%
663,Blake Countess\CounBl00,LAR,25,,16,1,1,5,3,60.0%,44,14.7,8.8,0,49.2,8.0,29,15,1,0,0,0.0,0,9,2,18.2%
664,Rudy Ford\FordRu00,ARI,24,,13,1,0,1,1,100.0%,13,13.0,13.0,0,118.7,4.0,4,9,0,0,0,0.0,0,9,2,18.2%
665,William Gholston\GholWi00,TAM,27,,16,2,0,0,0,,0,,,0,,,0,0,1,1,4,1.0,6,10,0,0.0%
666,Najee Goode\GoodNa00,IND,29,,16,0,1,4,4,100.0%,31,7.8,7.8,1,99.0,3.0,12,19,2,1,0,0.0,1,16,3,15.8%
667,Rasheem Green\GreeRa01,SEA,21,,10,0,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,9,0,0.0%
668,Nicholas Grigsby\GrigNi01,2TM,26,,12,0,0,2,1,50.0%,10,10.0,5.0,0,64.6,1.0,-1,11,2,0,1,0.0,1,10,1,9.1%
669,Trey Hendrickson\HendTr00,NOR,24,,5,0,0,0,0,,0,,,0,,,0,0,0,5,4,0.0,9,8,0,0.0%
670,Mike Hull\HullMi01,MIA,27,,8,1,0,2,2,100.0%,14,7.0,7.0,0,95.8,1.5,3,11,5,2,0,0.0,2,9,1,10.0%
671,Isaiah Irving\IrviIs00,CHI,24,,13,0,0,0,0,,0,,,0,,,0,0,3,3,2,1.0,6,8,0,0.0%
672,Justin Jones\JoneJu03,LAC,23,,15,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.5,2,17,1,5.6%
673,Peter Kalambayi\KalaPe00,HOU,23,,15,0,0,4,3,75.0%,44,14.7,11.0,0,110.4,3.8,14,30,0,1,0,0.0,1,13,1,7.1%
674,Shalom Luani\LuanSh00,SEA,24,,12,0,0,1,1,100.0%,3,3.0,3.0,0,79.2,3.0,3,0,1,0,1,0.0,1,9,0,0.0%
675,Stacy McGee\McGeSt01,WAS,28,,8,1,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,9,0,0.0%
676,Rodney McLeod\McLeRo00,PHI,28,,3,3,0,10,4,40.0%,31,7.8,3.1,0,48.3,8.1,19,12,5,0,0,0.0,0,10,2,16.7%
677,Steven Means\MeanSt00,ATL,28,,8,4,0,0,0,,0,,,0,,,0,0,1,2,0,1.0,3,14,0,0.0%
678,Quenton Meeks\MeekQu00,JAX,22,,8,1,0,5,2,40.0%,44,22.0,8.8,0,72.1,11.4,31,13,0,0,0,0.0,0,8,1,11.1%
679,Corey Moore\MoorCo00,IND,25,,15,0,1,2,2,100.0%,49,24.5,24.5,0,79.2,23.0,46,3,0,0,0,0.0,0,12,1,7.7%
680,Ben Niemann\NiemBe00,KAN,23,,14,1,0,3,3,100.0%,49,16.3,16.3,0,118.7,7.0,21,28,0,0,0,0.0,0,10,0,0.0%
681,Rashard Robinson\RobiRa00,NYJ,23,,10,1,0,9,8,88.9%,126,15.8,14.0,1,155.8,9.8,88,38,1,0,0,0.0,0,8,1,11.1%
682,Chandon Sullivan\SullCh00,PHI,22,,5,1,0,7,6,85.7%,117,19.5,16.7,0,118.7,12.7,85,32,0,0,0,0.0,0,7,3,30.0%
683,Joe Thomas\ThomJo04,DAL,27,,10,0,0,7,5,71.4%,41,8.2,5.9,0,86.0,2.9,21,20,5,0,0,0.0,0,14,2,12.5%
684,Tavierre Thomas\ThomTa01,CLE,22,,13,0,0,3,2,66.7%,25,12.5,8.3,0,92.4,3.3,10,15,0,0,0,0.0,0,8,1,11.1%
685,Zach Vigil\VigiZa00,WAS,27,,14,0,0,4,3,75.0%,15,5.0,3.8,0,80.2,3.0,10,5,1,0,0,0.0,0,10,1,9.1%
686,Anthony Zettel\ZettAn00,CLE,26,,15,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,5.0,5,0,0,0,0,0.0,0,14,0,0.0%
687,Connor Barwin\BarwCo99,NYG,32,,15,3,0,2,1,50.0%,13,13.0,6.5,0,70.8,2.0,-1,14,23,1,3,1.0,5,12,0,0.0%
688,Tarell Basham\BashTa00,2TM,24,,11,1,0,0,0,,0,,,0,,,0,0,3,1,2,0.0,3,8,0,0.0%
689,Tyus Bowser\BowsTy00,BAL,23,,15,0,0,2,1,50.0%,-1,-1.0,-0.5,0,56.2,9.0,-5,4,11,3,0,0.5,4,11,0,0.0%
690,James Burgess\BurgJa01,CLE,24,,3,2,0,4,2,50.0%,21,10.5,5.3,0,65.6,5.0,9,12,9,2,0,0.0,2,8,4,33.3%
691,Vernon Butler\ButlVe00,CAR,24,,14,0,0,0,0,,0,,,0,,,0,0,0,5,0,0.5,6,19,1,5.0%
692,Shilique Calhoun\CalhSh00,OAK,26,,7,0,0,0,0,,0,,,0,,,0,0,0,4,0,0.0,4,12,0,0.0%
693,Jordan Dangerfield\DangJo00,PIT,28,,16,1,0,1,1,100.0%,10,10.0,10.0,0,108.3,10.0,10,0,0,0,0,0.0,0,7,1,12.5%
694,Duke Ejiofor\EjioDu00,HOU,23,,12,0,0,3,3,100.0%,17,5.7,5.7,0,90.3,1.0,3,14,35,3,1,1.0,5,9,1,10.0%
695,John Franklin-Myers\FranJo02,LAR,22,,16,0,0,0,0,,0,,,0,,,0,0,0,11,4,2.0,17,10,0,0.0%
696,Ryan Glasgow\GlasRy00,CIN,25,,3,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,11,1,8.3%
697,Andre Hal\HalxAn00,HOU,26,,8,2,3,11,7,63.6%,162,23.1,14.7,1,97.9,14.2,111,51,2,0,0,0.0,0,13,2,13.3%
698,Vernon Hargreaves III\HargVe00,TAM,23,,1,1,0,7,5,71.4%,59,11.8,8.4,0,96.7,8.7,46,13,1,0,0,0.0,0,7,0,0.0%
699,Jaleel Johnson\JohnJa09,MIN,24,,16,1,0,0,0,,0,,,0,,,0,0,0,1,0,0.5,2,13,0,0.0%
700,Deon Lacey\LaceDe00,BUF,28,,16,0,0,1,0,0.0%,0,,0.0,0,39.6,-7.0,0,0,0,0,0,0.0,0,8,0,0.0%
701,Arthur Maulet\MaulAr00,2TM,25,,6,1,0,12,9,75.0%,139,15.4,11.6,1,140.6,6.7,64,75,0,0,0,0.0,0,9,1,10.0%
702,Lerentee McCray\McCrLe01,JAX,28,,13,0,0,1,1,100.0%,42,42.0,42.0,0,118.7,18.0,18,24,0,3,1,1.0,5,9,1,10.0%
703,Efe Obada\ObadEf00,CAR,26,,10,0,1,1,1,100.0%,15,15.0,15.0,1,118.7,3.0,3,12,0,4,4,2.0,10,8,0,0.0%
704,Olsen Pierre\PierOl00,ARI,27,,10,1,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,12,2,14.3%
705,Kevin Pierre-Louis\PierKe00,NYJ,27,,9,0,0,3,2,66.7%,18,9.0,6.0,0,82.6,10.0,17,1,3,0,1,1.0,2,7,1,12.5%
706,Lenzy Pipkins\PipkLe00,2TM,25,,3,1,0,4,3,75.0%,23,7.7,5.8,0,88.5,0.5,-5,28,0,0,0,0.0,0,9,0,0.0%
707,Tyvis Powell\PoweTy01,SFO,24,,7,1,0,8,7,87.5%,86,12.3,10.8,2,151.0,5.3,31,55,2,0,0,0.0,0,6,0,0.0%
708,Brian Price\PricBr00,2TM,24,,13,1,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,12,1,7.7%
709,Shane Ray\RayxSh00,DEN,25,,11,0,0,4,3,75.0%,40,13.3,10.0,0,106.2,4.3,6,34,17,3,0,1.0,4,10,0,0.0%
710,Caraun Reid\ReidCa00,DAL,27,,10,1,0,0,0,,0,,,0,,,0,0,0,1,2,0.5,4,10,0,0.0%
711,Christian Ringo\RingCh00,2TM,26,,6,0,0,1,1,100.0%,12,12.0,12.0,0,116.7,-3.0,-3,15,0,0,1,1.5,3,10,0,0.0%
712,Daniel Ross\RossDa02,DAL,25,,13,0,0,0,0,,0,,,0,,,0,0,0,0,5,1.0,6,14,1,6.7%
713,Tim Settle\SettTi00,WAS,21,,16,0,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,8,2,20.0%
714,Taylor Stallworth\StalTa00,NOR,23,,14,0,0,1,0,0.0%,13,,13.0,0,79.2,6.0,6,7,0,0,0,1.0,1,8,0,0.0%
715,Josh Tupou\TupoJo00,CIN,24,,6,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,9,2,18.2%
716,J.J. Wilcox\WilcJ.00,2TM,27,,7,0,0,4,2,50.0%,7,3.5,1.8,0,56.2,1.3,5,2,7,0,0,0.0,0,7,0,0.0%
717,Tim Williams\WillTi00,BAL,25,,7,0,0,0,0,,0,,,0,,,0,0,2,5,0,2.0,7,10,0,0.0%
718,Brandon Wilson\WilsBr01,CIN,24,,16,0,0,2,2,100.0%,32,16.0,16.0,0,118.7,5.0,10,22,0,0,0,0.0,0,11,0,0.0%
719,Anthony Averett\AverAn00,BAL,24,,11,0,0,4,1,25.0%,18,18.0,4.5,0,45.8,23.0,12,6,0,0,0,0.0,0,5,0,0.0%
720,Maurice Canady\CanaMa00,BAL,24,,7,0,0,2,2,100.0%,24,12.0,12.0,0,116.7,12.0,24,0,0,0,0,0.0,0,5,0,0.0%
721,Cody Davis\DaviCo02,JAX,29,,16,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,10,1,9.1%
722,Jalen Davis\DaviJa06,MIA,22,,3,0,0,5,3,60.0%,28,9.3,5.6,0,75.4,5.6,14,14,2,0,1,1.0,2,6,1,14.3%
723,Keionta Davis\DaviKe03,NWE,24,,6,3,0,0,0,,0,,,0,,,0,0,1,2,2,0.0,4,6,2,25.0%
724,Kerry Hyder\HydeKe01,DET,27,,7,0,0,0,0,,0,,,0,,,0,0,0,0,1,1.0,2,6,2,25.0%
725,Cyrus Jones\JoneCy00,2TM,25,,13,0,0,1,0,0.0%,31,,31.0,0,79.2,23.0,16,15,0,0,0,0.0,0,8,0,0.0%
726,Bennie Logan\LogaBe00,TEN,29,,15,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,14,1,6.7%
727,R.J. McIntosh\McInR.00,NYG,22,,6,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,5,0,0.0%
728,Christopher Milton\MiltCh00,IND,26,,15,0,0,6,4,66.7%,56,14.0,9.3,2,136.1,14.5,39,17,0,0,0,0.0,0,10,2,16.7%
729,Eddie Pleasant\PleaEd00,2TM,30,,6,1,0,7,6,85.7%,75,12.5,10.7,0,111.3,11.9,56,19,8,2,0,0.0,2,8,3,27.3%
730,Hassan Ridgeway\RidgHa00,IND,24,,5,0,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-5.0,-5,4,0,0,0,0.0,0,6,1,14.3%
731,Patrick Robinson\RobiPa99,NOR,31,,3,1,0,5,3,60.0%,12,4.0,2.4,0,64.6,1.6,3,9,1,0,0,0.0,0,6,0,0.0%
732,Nathan Shepherd\ShepNa00,NYJ,25,rde,16,5,0,0,0,,0,,,0,,,0,0,0,1,4,0.0,5,15,3,16.7%
733,Maurice Smith\SmitMa04,MIA,23,,7,0,0,4,3,75.0%,46,15.3,11.5,0,112.5,16.8,23,23,0,0,0,0.0,0,5,3,37.5%
734,Shamarko Thomas\ThomSh00,DEN,27,,6,0,0,1,1,100.0%,4,4.0,4.0,1,122.9,4.0,4,0,0,0,0,0.0,0,7,0,0.0%
735,Neiko Thorpe\ThorNe00,SEA,28,,12,0,0,4,2,50.0%,21,10.5,5.3,0,65.6,18.3,9,12,0,0,0,0.0,0,7,0,0.0%
736,Ethan Westbrooks\WestEt00,LAR,28,,16,0,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,8,0,0.0%
737,Adonis Alexander\AlexAd00,WAS,22,,9,0,0,2,1,50.0%,6,6.0,3.0,0,56.2,1.5,0,6,0,0,0,0.0,0,4,1,20.0%
738,Tashawn Bower\BoweTa00,MIN,23,,5,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,6,1,14.3%
739,Deante Burton\BurtDe00,2TM,24,,3,0,0,6,6,100.0%,64,10.7,10.7,0,111.1,8.0,48,16,0,0,0,0.0,0,5,0,0.0%
740,Bryan Cox Jr.\CoxxBr01,CAR,24,,11,0,0,3,1,33.3%,11,11.0,3.7,0,45.1,6.0,10,1,0,1,1,0.0,2,10,2,16.7%
741,Brock Coyle\CoylBr00,SFO,28,,1,1,0,5,3,60.0%,40,13.3,8.0,0,85.4,-0.6,-2,42,3,1,0,0.0,1,6,1,14.3%
742,Benny Cunningham\CunnBe01,CHI,28,,15,0,0,1,1,100.0%,7,7.0,7.0,0,95.8,2.0,2,5,0,0,0,0.0,0,4,0,0.0%
743,Donte Deayon\DeayDo01,NYG,24,,4,0,0,10,5,50.0%,61,12.2,6.1,0,69.2,9.3,50,11,0,0,0,0.0,0,6,3,33.3%
744,Dominique Easley\EaslDo00,LAR,26,,3,3,0,0,0,,0,,,0,,,0,0,1,3,0,0.0,3,4,0,0.0%
745,Ukeme Eligwe\EligUk00,NYG,24,,10,0,0,4,4,100.0%,23,5.8,5.8,0,90.6,2.5,10,13,5,1,0,0.0,1,7,0,0.0%
746,Raven Greene\GreeRa02,GNB,23,,8,0,0,2,1,50.0%,0,0.0,0.0,0,56.2,13.0,0,0,4,0,0,1.0,1,5,0,0.0%
747,William Hayes\HayeWi99,MIA,33,,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,2.0,2,4,0,0.0%
748,Evander Hood\HoodEv99,2TM,31,,13,0,0,0,0,,0,,,0,,,0,0,0,3,0,0.0,3,9,1,10.0%
749,Darius Kilgo\KilgDa01,TEN,27,,11,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,5,3,37.5%
750,Kenny Ladler\LadlKe00,2TM,26,,8,0,0,2,2,100.0%,26,13.0,13.0,0,118.7,7.0,14,12,1,0,1,0.0,1,9,1,10.0%
751,Justin Lawler\LawlJu00,LAR,24,,16,0,0,6,5,83.3%,23,4.6,3.8,0,82.6,-1.3,-10,33,2,0,0,0.0,0,6,0,0.0%
752,Carl Lawson\LawsCa00,CIN,23,,7,0,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,9,4,1.0,14,6,0,0.0%
753,Eric Lee\LeexEr00,DET,24,,9,0,0,0,0,,0,,,0,,,0,0,0,2,0,0.0,2,6,2,25.0%
754,Cameron Lynch\LyncCa00,TAM,25,,16,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,4,0,0.0%
755,Dean Marlowe\MarlDe00,BUF,26,,2,1,0,3,1,33.3%,4,4.0,1.3,0,42.4,13.3,4,0,2,0,0,0.0,0,5,0,0.0%
756,Albert McClellan\McClAl00,2TM,32,,13,1,0,2,1,50.0%,9,9.0,4.5,0,62.5,10.0,8,1,1,0,0,0.0,0,7,0,0.0%
757,Dexter McDougle\McDoDe00,PHI,27,,2,1,0,9,6,66.7%,74,12.3,8.2,0,91.9,6.1,41,33,3,0,1,0.0,1,5,3,37.5%
758,Tony McRae\McRaTo00,CIN,25,,12,1,0,11,8,72.7%,97,12.1,8.8,0,99.4,1.0,7,90,1,0,0,0.0,0,9,1,10.0%
759,Skai Moore\MoorSk00,IND,23,,9,1,0,0,0,,0,,,0,,,0,0,2,1,0,0.0,1,4,0,0.0%
760,Brian Peters\PeteBr00,HOU,30,,11,0,0,6,6,100.0%,112,18.7,18.7,0,118.7,4.7,28,84,1,0,0,0.0,0,9,4,30.8%
761,Denzel Rice\RiceDe00,2TM,25,,12,0,1,3,2,66.7%,31,15.5,10.3,0,61.1,17.0,22,9,0,0,0,0.0,0,5,0,0.0%
762,Josh Robinson\RobiJo01,NOR,27,,11,0,0,2,1,50.0%,9,9.0,4.5,0,62.5,5.5,6,3,1,0,0,0.0,0,6,0,0.0%
763,Da'Norris Searcy\SearDa00,CAR,30,,2,2,0,3,2,66.7%,24,12.0,8.0,0,91.0,14.3,11,13,0,0,0,0.0,0,5,0,0.0%
764,Tremon Smith\SmitTr04,KAN,22,,14,1,0,7,4,57.1%,76,19.0,10.9,0,94.9,14.3,51,25,0,0,0,0.0,0,5,2,28.6%
765,Jullian Taylor\TaylJu00,SFO,23,,6,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,7,0,0.0%
766,Jihad Ward\WardJi02,IND,24,,6,0,0,0,0,,0,,,0,,,0,0,0,1,1,3.0,5,4,1,20.0%
767,Adolphus Washington\WashAd00,2TM,24,,5,0,0,0,0,,0,,,0,,,0,0,0,0,1,1.0,2,8,0,0.0%
768,Dekoda Watson\WatsDe99,SFO,30,,4,0,0,0,0,,0,,,0,,,0,0,3,1,0,2.0,4,6,0,0.0%
769,Marcus Williams\WillMa03,2TM,27,,5,0,0,6,4,66.7%,40,10.0,6.7,0,85.4,19.5,40,0,0,0,0,0.0,0,4,0,0.0%
770,Jack Cichy\CichJa00,TAM,22,,6,0,0,1,1,100.0%,7,7.0,7.0,0,95.8,7.0,7,0,0,0,0,0.0,0,4,0,0.0%
771,Corn Elder\EldeCo00,CAR,24,,13,0,0,6,5,83.3%,96,19.2,16.0,1,158.3,13.5,64,32,0,0,0,0.0,0,3,2,40.0%
772,Jalyn Holmes\HolmJa01,MIN,22,,5,0,0,1,1,100.0%,7,7.0,7.0,0,95.8,5.0,5,2,0,0,0,1.0,1,3,0,0.0%
773,David Irving\IrviDa00,DAL,25,,2,0,0,0,0,,0,,,0,,,0,0,0,1,1,1.0,3,4,1,20.0%
774,Derrick Jones\JoneDe02,NYJ,24,,1,0,0,4,3,75.0%,18,6.0,4.5,0,83.3,4.8,10,8,0,0,0,0.0,0,3,1,25.0%
775,Josh Keyes\KeyeJo00,HOU,25,,3,0,0,2,2,100.0%,35,17.5,17.5,0,118.7,9.0,18,17,0,0,0,0.0,0,5,0,0.0%
776,Tanoh Kpassagnon\KpasTa00,KAN,24,,13,0,0,1,0,0.0%,0,,0.0,0,39.6,0.0,0,0,2,0,1,0.0,1,4,0,0.0%
777,Chris Landrum\LandCh00,LAC,26,,7,0,0,0,0,,0,,,0,,,0,0,2,0,2,0.0,2,6,0,0.0%
778,Obi Melifonwu\MeliOb00,NWE,24,,2,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,5.0,5,0,2,0,0,0.0,0,3,0,0.0%
779,David Parry\ParrDa00,MIN,26,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,4,0,0.0%
780,Dawuane Smoot\SmooDa00,JAX,23,,8,0,0,1,0,0.0%,0,,0.0,0,39.6,1.0,0,0,0,2,3,0.0,5,4,0,0.0%
781,Pita Taumoepenu\TaumPi00,SFO,24,,4,0,0,1,1,100.0%,5,5.0,5.0,0,87.5,2.0,2,3,0,0,0,0.0,0,3,0,0.0%
782,Matthew Thomas\ThomMa00,PIT,23,,10,0,0,1,0,0.0%,8,,8.0,0,60.4,7.0,7,1,0,0,0,0.0,0,4,0,0.0%
783,Korey Toomer\ToomKo00,GNB,30,,7,0,0,1,1,100.0%,24,24.0,24.0,0,118.7,9.0,9,15,1,0,0,0.0,0,3,0,0.0%
784,Michael Tyson\TysoMi00,HOU,25,,10,2,0,2,0,0.0%,0,,0.0,0,39.6,12.0,0,0,2,0,0,0.0,0,5,1,16.7%
785,Armani Watts\WattAr00,KAN,22,,5,0,0,2,1,50.0%,7,7.0,3.5,0,58.3,-1.0,-5,12,5,0,1,1.0,2,5,1,16.7%
786,Blidi Wreh-Wilson\WrehBl00,ATL,29,,3,0,0,4,1,25.0%,11,11.0,2.8,0,39.6,17.3,3,8,0,0,0,0.0,0,4,0,0.0%
787,Nat Berhe\BerhNa00,PIT,27,,4,0,0,4,4,100.0%,42,10.5,10.5,0,110.4,8.0,32,10,1,0,0,0.0,0,3,1,25.0%
788,Matt Dickerson\DickMa00,TEN,23,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,3,0,0.0%
789,Vontarrius Dora\DoraVo00,ARI,26,,3,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,3,1,25.0%
790,Daeshon Hall\HallDa01,PHI,23,,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.5,1,3,0,0.0%
791,Willie Henry\HenrWi00,BAL,24,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,3,1,25.0%
792,Joshua Holsey\HolsJo01,WAS,24,,1,0,0,4,3,75.0%,29,9.7,7.3,0,94.8,3.0,-3,32,0,0,0,0.0,0,2,3,60.0%
793,Timmy Jernigan\JernTi00,PHI,26,,3,3,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,2,0,0.0%
794,Lyndon Johnson\JohnLy00,JAX,24,,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,2,0,0.0%
795,Tre'von Johnson\JohnTr07,LAC,23,,4,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,3,1,25.0%
796,Nazair Jones\JoneNa00,SEA,24,,9,0,0,0,0,,0,,,0,,,0,0,0,1,2,0.0,3,7,0,0.0%
797,Micah Kiser\KiseMi00,LAR,23,,16,0,0,1,1,100.0%,23,23.0,23.0,0,118.7,-2.0,-2,25,0,0,0,0.0,0,4,0,0.0%
798,Cameron Malveaux\MalvCa00,2TM,24,,9,0,0,0,0,,0,,,0,,,0,0,0,3,0,1.0,4,10,0,0.0%
799,Daniel McCullers\McCuDa00,PIT,26,,15,1,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,5,1,16.7%
800,T.Y. McGill\McGiT.00,2TM,26,,6,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,5,0,0.0%
801,Charone Peake\PeakCh00,NYJ,26,,13,0,0,1,1,100.0%,15,15.0,15.0,0,118.7,8.0,8,7,0,0,0,0.0,0,4,0,0.0%
802,Patrick Ricard\RicaPa00,BAL,24,,10,2,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,4,0,0.0%
803,Derek Rivers\RiveDe00,NWE,24,,6,0,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,2,0,0.0%
804,Noah Spence\SpenNo00,TAM,24,,12,0,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,3,0,0.0%
805,Cordrea Tankersley\TankCo00,MIA,25,,6,0,0,3,3,100.0%,42,14.0,14.0,0,118.7,10.7,32,10,0,0,0,0.0,0,5,1,16.7%
806,Destiny Vaeao\VaeaDe01,PHI,24,,6,3,0,0,0,,0,,,0,,,0,0,0,1,1,1.0,3,2,0,0.0%
807,DeMarcus Walker\WalkDe03,DEN,24,,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,4,0,0.0%
808,Carlos Watkins\WatkCa00,HOU,25,,4,0,0,0,0,,0,,,0,,,0,0,0,0,0,1.0,1,3,0,0.0%
809,Muhammad Wilkerson\WilkMu00,GNB,29,,3,3,0,0,0,,0,,,0,,,0,0,0,5,0,0.0,5,5,0,0.0%
810,Jerel Worthy\WortJe00,TAM,28,,4,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,3,0,0.0%
811,Frank Zombo\ZombFr00,KAN,31,,9,0,0,1,0,0.0%,0,,0.0,0,39.6,1.0,0,0,0,0,0,0.0,0,2,0,0.0%
812,Marcus Allen\AlleMa03,PIT,22,,2,0,0,3,2,66.7%,13,6.5,4.3,0,75.7,2.3,5,8,1,0,0,0.0,0,2,0,0.0%
813,Caleb Brantley\BranCa00,WAS,24,,7,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,1,2,66.7%
814,Marcus Cooper\CoopMa00,2TM,28,,6,0,0,2,1,50.0%,0,0.0,0.0,0,56.2,12.5,-2,2,0,0,0,0.0,0,1,0,0.0%
815,Vontae Davis\DaviVo99,BUF,30,,1,1,0,3,3,100.0%,34,11.3,11.3,1,153.5,7.3,22,12,0,0,0,0.0,0,1,0,0.0%
816,Marquis Flowers\FlowMa00,DET,26,,5,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,2,1,33.3%
817,C.J. Goodwin\GoodC.00,DAL,28,,3,0,0,1,1,100.0%,27,27.0,27.0,0,118.7,17.0,17,10,0,0,0,0.0,0,1,0,0.0%
818,Marquis Haynes\HaynMa01,CAR,25,,4,0,0,0,0,,0,,,0,,,0,0,0,1,0,0.0,1,4,1,20.0%
819,Jeff Holland\HollJe01,DEN,21,,3,0,0,0,0,,0,,,0,,,0,0,6,0,0,0.0,0,6,0,0.0%
820,Davon House\HousDa00,GNB,29,,3,0,0,5,4,80.0%,88,22.0,17.6,1,158.3,15.6,68,20,0,0,0,0.0,0,2,0,0.0%
821,Isaiah Johnson\JohnIs01,LAR,26,,2,0,0,0,0,,0,,,0,,,0,0,1,0,0,0.0,0,1,1,50.0%
